iter	Passed	Remaining
0	50	10067
1	53	5321
2	56	3725
3	59	2916
4	62	2444
5	65	2125
6	68	1894
7	71	1723
8	74	1579
9	76	1462
10	79	1366
11	82	1286
12	84	1221
13	87	1160
14	89	1106
15	91	1057
16	94	1014
17	96	975
18	98	939
19	100	908
20	103	878
21	104	849
22	106	823
23	109	799
24	111	777
25	112	756
26	114	736
27	116	718
28	119	701
29	120	685
30	123	670
31	124	655
32	126	642
33	128	629
34	130	617
35	133	605
36	135	596
37	137	586
38	139	576
39	141	566
40	143	558
41	146	549
42	148	541
43	150	533
44	152	525
45	154	518
46	157	511
47	159	504
48	161	496
49	163	489
50	165	482
51	167	475
52	169	469
53	170	462
54	173	456
55	175	450
56	177	444
57	178	438
58	180	432
59	182	426
60	184	420
61	186	415
62	188	410
63	190	405
64	192	400
65	194	395
66	196	390
67	198	385
68	200	381
69	202	376
70	204	372
71	206	367
72	208	363
73	210	358
74	212	354
75	214	350
76	216	346
77	219	343
78	223	341
79	225	337
80	227	333
81	229	329
82	231	325
83	233	321
84	235	318
85	237	314
86	239	310
87	241	306
88	243	303
89	245	299
90	247	296
91	249	292
92	251	289
93	253	285
94	255	281
95	257	278
96	259	275
97	261	272
98	263	269
99	265	265
100	268	262
101	270	259
102	272	256
103	274	253
104	276	250
105	278	247
106	281	244
107	283	241
108	285	238
109	287	235
110	289	232
111	291	229
112	293	226
113	295	222
114	297	219
115	299	216
116	301	213
117	303	210
118	310	211
119	313	208
120	317	207
121	321	205
122	325	204
123	328	201
124	330	198
125	337	198
126	340	195
127	346	194
128	349	192
129	354	191
130	358	188
131	363	187
132	366	184
133	368	181
134	370	178
135	372	175
136	374	172
137	376	169
138	378	165
139	380	162
140	382	159
141	384	157
142	387	154
143	389	151
144	391	148
145	393	145
146	396	142
147	398	139
148	400	137
149	402	134
150	405	131
151	407	128
152	409	125
153	411	122
154	413	120
155	415	117
156	417	114
157	419	111
158	421	108
159	423	105
160	425	103
161	427	100
162	429	97
163	431	94
164	433	91
165	435	89
166	437	86
167	438	83
168	440	80
169	442	78
170	444	75
171	446	72
172	448	70
173	450	67
174	452	64
175	454	61
176	456	59
177	458	56
178	460	54
179	462	51
180	464	48
181	466	46
182	468	43
183	470	40
184	472	38
185	474	35
186	476	33
187	478	30
188	480	27
189	482	25
190	484	22
191	486	20
192	488	17
193	490	15
194	492	12
195	494	10
196	496	7
197	498	5
198	500	2
199	502	0
