BIM,target,variable,lag,correlation
BIM-02,OD,pH,-5,0.30139881396179863
BIM-02,OD,pH,-4,0.3606916343787702
BIM-02,OD,pH,-3,0.4033732961578612
BIM-02,OD,pH,-2,0.12152200358686399
BIM-02,OD,pH,-1,-0.14107241916703867
BIM-02,OD,pH,0,0.035140326620758104
BIM-02,OD,pH,1,0.19890181156087722
BIM-02,OD,pH,2,0.29392395892586265
BIM-02,OD,pH,3,0.3910474343257907
BIM-02,OD,pH,4,-0.1424799114356591
BIM-02,OD,pH,5,-0.6272434856313014
BIM-02,OD,pH_Norm,-5,0.30139881396179863
BIM-02,OD,pH_Norm,-4,0.3606916343787704
BIM-02,OD,pH_Norm,-3,0.40337329615786116
BIM-02,OD,pH_Norm,-2,0.12152200358686403
BIM-02,OD,pH_Norm,-1,-0.14107241916703864
BIM-02,OD,pH_Norm,0,0.03514032662075806
BIM-02,OD,pH_Norm,1,0.1989018115608772
BIM-02,OD,pH_Norm,2,0.2939239589258626
BIM-02,OD,pH_Norm,3,0.3910474343257908
BIM-02,OD,pH_Norm,4,-0.14247991143565916
BIM-02,OD,pH_Norm,5,-0.6272434856313014
BIM-02,OD,Temperatura (°C),-5,-0.34723375765470355
BIM-02,OD,Temperatura (°C),-4,-0.46659559717377
BIM-02,OD,Temperatura (°C),-3,-0.431142598953882
BIM-02,OD,Temperatura (°C),-2,-0.23023864933765595
BIM-02,OD,Temperatura (°C),-1,-0.21727270903713175
BIM-02,OD,Temperatura (°C),0,-0.08886161369950217
BIM-02,OD,Temperatura (°C),1,0.10627325709551777
BIM-02,OD,Temperatura (°C),2,0.038225363157926726
BIM-02,OD,Temperatura (°C),3,0.08866581237598195
BIM-02,OD,Temperatura (°C),4,-0.002146145263859786
BIM-02,OD,Temperatura (°C),5,-0.35807147835972375
BIM-02,OD,Temp_Norm,-5,0.3013988139617985
BIM-02,OD,Temp_Norm,-4,0.3606916343787703
BIM-02,OD,Temp_Norm,-3,0.40337329615786127
BIM-02,OD,Temp_Norm,-2,0.12152200358686403
BIM-02,OD,Temp_Norm,-1,-0.14107241916703853
BIM-02,OD,Temp_Norm,0,0.035140326620758076
BIM-02,OD,Temp_Norm,1,0.19890181156087713
BIM-02,OD,Temp_Norm,2,0.2939239589258625
BIM-02,OD,Temp_Norm,3,0.3910474343257906
BIM-02,OD,Temp_Norm,4,-0.14247991143565927
BIM-02,OD,Temp_Norm,5,-0.6272434856313014
BIM-02,OD,EC,-5,0.12333981503769809
BIM-02,OD,EC,-4,0.18377867869317896
BIM-02,OD,EC,-3,0.39291622005240157
BIM-02,OD,EC,-2,0.4735614007178979
BIM-02,OD,EC,-1,0.07628943567694184
BIM-02,OD,EC,0,-0.06105980593657874
BIM-02,OD,EC,1,-0.44408038948021783
BIM-02,OD,EC,2,-0.7043156065721098
BIM-02,OD,EC,3,-0.4450089586228587
BIM-02,OD,EC,4,-0.32362570362502296
BIM-02,OD,EC,5,-0.0994157426944612
BIM-02,OD,EC_Norm,-5,0.12333981503769809
BIM-02,OD,EC_Norm,-4,0.1837786786931791
BIM-02,OD,EC_Norm,-3,0.3929162200524015
BIM-02,OD,EC_Norm,-2,0.4735614007178978
BIM-02,OD,EC_Norm,-1,0.07628943567694181
BIM-02,OD,EC_Norm,0,-0.06105980593657873
BIM-02,OD,EC_Norm,1,-0.44408038948021766
BIM-02,OD,EC_Norm,2,-0.7043156065721096
BIM-02,OD,EC_Norm,3,-0.4450089586228587
BIM-02,OD,EC_Norm,4,-0.32362570362502285
BIM-02,OD,EC_Norm,5,-0.09941574269446118
BIM-02,OD,OD_Norm,-5,-0.01243716506214297
BIM-02,OD,OD_Norm,-4,-0.6067437081412743
BIM-02,OD,OD_Norm,-3,-0.19313342930248512
BIM-02,OD,OD_Norm,-2,-0.041431293112540526
BIM-02,OD,OD_Norm,-1,0.2874190118700292
BIM-02,OD,OD_Norm,0,0.9999999999999998
BIM-02,OD,OD_Norm,1,0.2874190118700293
BIM-02,OD,OD_Norm,2,-0.041431293112540526
BIM-02,OD,OD_Norm,3,-0.1931334293024851
BIM-02,OD,OD_Norm,4,-0.6067437081412743
BIM-02,OD,OD_Norm,5,-0.012437165062143
BIM-04,OD,pH,-5,-0.7467800651281334
BIM-04,OD,pH,-4,-0.6768110283420867
BIM-04,OD,pH,-3,-0.8493219641440206
BIM-04,OD,pH,-2,-0.41729332432274985
BIM-04,OD,pH,-1,0.15914402571886707
BIM-04,OD,pH,0,0.5877826158609135
BIM-04,OD,pH,1,0.7626884896019369
BIM-04,OD,pH,2,0.526056406006571
BIM-04,OD,pH,3,0.5433391255026382
BIM-04,OD,pH,4,0.20924020023901035
BIM-04,OD,pH,5,-0.15936849966327968
BIM-04,OD,pH_Norm,-5,-0.7467800651281333
BIM-04,OD,pH_Norm,-4,-0.676811028342087
BIM-04,OD,pH_Norm,-3,-0.8493219641440207
BIM-04,OD,pH_Norm,-2,-0.41729332432274985
BIM-04,OD,pH_Norm,-1,0.15914402571886704
BIM-04,OD,pH_Norm,0,0.5877826158609137
BIM-04,OD,pH_Norm,1,0.7626884896019369
BIM-04,OD,pH_Norm,2,0.5260564060065709
BIM-04,OD,pH_Norm,3,0.5433391255026382
BIM-04,OD,pH_Norm,4,0.20924020023901038
BIM-04,OD,pH_Norm,5,-0.15936849966327968
BIM-04,OD,Temperatura (°C),-5,-0.6392964842905455
BIM-04,OD,Temperatura (°C),-4,-0.73763659107816
BIM-04,OD,Temperatura (°C),-3,-0.6639496621627999
BIM-04,OD,Temperatura (°C),-2,-0.7453393571845374
BIM-04,OD,Temperatura (°C),-1,-0.6829929572875799
BIM-04,OD,Temperatura (°C),0,-0.25269229616441874
BIM-04,OD,Temperatura (°C),1,-0.054626249243684206
BIM-04,OD,Temperatura (°C),2,-0.1236018470207227
BIM-04,OD,Temperatura (°C),3,-0.2604873937038739
BIM-04,OD,Temperatura (°C),4,0.2262841367772934
BIM-04,OD,Temperatura (°C),5,0.4497611386414816
BIM-04,OD,Temp_Norm,-5,-0.7467800651281333
BIM-04,OD,Temp_Norm,-4,-0.6768110283420867
BIM-04,OD,Temp_Norm,-3,-0.8493219641440208
BIM-04,OD,Temp_Norm,-2,-0.4172933243227498
BIM-04,OD,Temp_Norm,-1,0.15914402571886713
BIM-04,OD,Temp_Norm,0,0.5877826158609137
BIM-04,OD,Temp_Norm,1,0.762688489601937
BIM-04,OD,Temp_Norm,2,0.5260564060065709
BIM-04,OD,Temp_Norm,3,0.5433391255026383
BIM-04,OD,Temp_Norm,4,0.20924020023901047
BIM-04,OD,Temp_Norm,5,-0.15936849966327965
BIM-04,OD,EC,-5,0.8024397499955054
BIM-04,OD,EC,-4,0.7184791547999497
BIM-04,OD,EC,-3,0.555096323668297
BIM-04,OD,EC,-2,0.23261391117795036
BIM-04,OD,EC,-1,-0.41556116089521306
BIM-04,OD,EC,0,-0.5171174988641586
BIM-04,OD,EC,1,-0.4732562166067216
BIM-04,OD,EC,2,-0.5510500568373036
BIM-04,OD,EC,3,-0.3566745976863673
BIM-04,OD,EC,4,-0.14525884786950466
BIM-04,OD,EC,5,0.07853355803099309
BIM-04,OD,EC_Norm,-5,0.8024397499955055
BIM-04,OD,EC_Norm,-4,0.7184791547999497
BIM-04,OD,EC_Norm,-3,0.5550963236682971
BIM-04,OD,EC_Norm,-2,0.2326139111779504
BIM-04,OD,EC_Norm,-1,-0.41556116089521306
BIM-04,OD,EC_Norm,0,-0.5171174988641585
BIM-04,OD,EC_Norm,1,-0.47325621660672157
BIM-04,OD,EC_Norm,2,-0.5510500568373036
BIM-04,OD,EC_Norm,3,-0.3566745976863673
BIM-04,OD,EC_Norm,4,-0.1452588478695047
BIM-04,OD,EC_Norm,5,0.07853355803099307
BIM-04,OD,OD_Norm,-5,-0.5976104182560584
BIM-04,OD,OD_Norm,-4,-0.42306703529227846
BIM-04,OD,OD_Norm,-3,-0.17299608414121712
BIM-04,OD,OD_Norm,-2,0.17530739364115913
BIM-04,OD,OD_Norm,-1,0.5978737402971879
BIM-04,OD,OD_Norm,0,1.0
BIM-04,OD,OD_Norm,1,0.5978737402971879
BIM-04,OD,OD_Norm,2,0.17530739364115908
BIM-04,OD,OD_Norm,3,-0.17299608414121706
BIM-04,OD,OD_Norm,4,-0.4230670352922785
BIM-04,OD,OD_Norm,5,-0.5976104182560587
BIM-05,OD,pH,-5,-0.5728579719209942
BIM-05,OD,pH,-4,-0.5383980432710661
BIM-05,OD,pH,-3,-0.4666895720711606
BIM-05,OD,pH,-2,-0.4113768263764422
BIM-05,OD,pH,-1,-0.34714653192115585
BIM-05,OD,pH,0,-0.21191878804184122
BIM-05,OD,pH,1,-0.10003574604057906
BIM-05,OD,pH,2,-0.11899281436435531
BIM-05,OD,pH,3,0.07034094482711592
BIM-05,OD,pH,4,0.22694368861116224
BIM-05,OD,pH,5,0.3891142628029412
BIM-05,OD,pH_Norm,-5,-0.5728579719209941
BIM-05,OD,pH_Norm,-4,-0.538398043271066
BIM-05,OD,pH_Norm,-3,-0.46668957207116074
BIM-05,OD,pH_Norm,-2,-0.41137682637644213
BIM-05,OD,pH_Norm,-1,-0.3471465319211558
BIM-05,OD,pH_Norm,0,-0.21191878804184125
BIM-05,OD,pH_Norm,1,-0.10003574604057905
BIM-05,OD,pH_Norm,2,-0.11899281436435533
BIM-05,OD,pH_Norm,3,0.07034094482711596
BIM-05,OD,pH_Norm,4,0.22694368861116235
BIM-05,OD,pH_Norm,5,0.3891142628029412
BIM-05,OD,Temperatura (°C),-5,-0.5192984244542591
BIM-05,OD,Temperatura (°C),-4,-0.38056330541202027
BIM-05,OD,Temperatura (°C),-3,-0.3727196151372374
BIM-05,OD,Temperatura (°C),-2,-0.39324415243380323
BIM-05,OD,Temperatura (°C),-1,-0.3335860297793517
BIM-05,OD,Temperatura (°C),0,-0.1882249343060774
BIM-05,OD,Temperatura (°C),1,-0.1363215076585507
BIM-05,OD,Temperatura (°C),2,-0.16215850661838455
BIM-05,OD,Temperatura (°C),3,0.10199903527306015
BIM-05,OD,Temperatura (°C),4,0.21797177846704788
BIM-05,OD,Temperatura (°C),5,0.3686561004740774
BIM-05,OD,Temp_Norm,-5,-0.5728579719209941
BIM-05,OD,Temp_Norm,-4,-0.5383980432710661
BIM-05,OD,Temp_Norm,-3,-0.4666895720711607
BIM-05,OD,Temp_Norm,-2,-0.41137682637644196
BIM-05,OD,Temp_Norm,-1,-0.34714653192115585
BIM-05,OD,Temp_Norm,0,-0.2119187880418412
BIM-05,OD,Temp_Norm,1,-0.10003574604057903
BIM-05,OD,Temp_Norm,2,-0.11899281436435535
BIM-05,OD,Temp_Norm,3,0.07034094482711596
BIM-05,OD,Temp_Norm,4,0.22694368861116226
BIM-05,OD,Temp_Norm,5,0.3891142628029412
BIM-05,OD,EC,-5,0.647307655785982
