column,dtype,missing_count,missing_pct,unique_count,duplicated_rows_total
Fecha,datetime64[us],0,0.0,200,0
Localidad,str,34,15.454545454545453,1,0
BIM,str,0,0.0,17,0
pH,float64,1,0.45454545454545453,134,0
pH_Norm,float64,34,15.454545454545453,116,0
Temperatura (°C),float64,4,1.8181818181818181,67,0
Temp_Norm,float64,34,15.454545454545453,116,0
EC,int64,0,0.0,92,0
EC_Norm,float64,34,15.454545454545453,64,0
OD,float64,2,0.9090909090909091,170,0
OD_Norm,float64,34,15.454545454545453,147,0
μ (d⁻¹),float64,41,18.636363636363637,170,0
ciclo_1,float64,75,34.090909090909086,1,0
ciclo_2,object,199,90.45454545454545,2,0
Edad_Dias,int64,0,0.0,45,0
Delta_pH_1d,float64,19,8.636363636363637,114,0
Ritmo,str,0,0.0,5,0
Estado_Cultivo,str,0,0.0,7,0
