,cluster
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,0
24,2
25,0
26,0
27,2
28,2
29,2
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,0
67,0
68,0
69,0
70,0
71,2
72,2
73,2
74,1
75,2
76,2
77,0
78,0
79,0
80,0
81,0
82,0
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,0
106,0
107,0
108,2
109,2
110,2
111,0
112,0
113,2
114,1
115,1
116,1
117,1
118,1
119,2
120,1
121,2
122,2
123,0
124,0
125,0
126,0
127,2
128,2
129,2
130,2
131,0
132,0
133,0
134,2
135,2
136,2
137,2
138,0
139,2
140,2
141,2
142,0
143,0
144,0
145,0
146,2
147,2
148,2
149,2
150,2
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,2
174,2
175,0
176,0
177,0
178,0
179,2
180,2
181,2
182,2
183,2
184,2
185,2
