,tsne_1,tsne_2
0,-18.186625,-3.5076
1,-18.562084,-2.2482026
2,-42.455105,-20.667034
3,-41.191772,-20.395891
4,-43.074837,-19.782005
5,-11.503661,-12.487059
6,-11.784786,-11.838039
7,-27.416574,-16.568672
8,-27.95481,-15.384393
9,21.829235,35.74181
10,22.478405,34.97825
11,-26.654556,-20.041103
12,-26.838945,-18.792776
13,-25.087744,-25.573572
14,-24.041906,-27.147598
15,-23.937227,-26.267168
16,-14.727228,-7.706522
17,9.16051,-8.551009
18,9.210432,-7.9411635
19,-14.749638,-5.4626684
20,-13.154115,-2.8183868
21,-16.48356,-2.542035
22,-10.713778,5.55641
23,-13.083033,15.74983
24,-11.061904,31.130291
25,-11.263763,33.97955
26,-11.07563,34.977966
27,-12.850982,34.042965
28,-13.626488,-8.146948
29,-12.023776,-9.266523
30,48.21263,-16.851131
31,47.48257,-8.911601
32,48.389736,-19.928484
33,49.80958,-12.68107
34,49.23127,-17.710602
35,49.17322,-18.964586
36,49.964306,-11.54625
37,49.957798,-9.782785
38,50.006687,-8.444794
39,48.964706,-8.256639
40,50.2302,-6.413277
41,22.403074,45.85706
42,21.667208,45.420692
43,23.81873,48.973854
44,23.665373,50.054234
45,24.667112,50.00177
46,18.906187,42.588863
47,20.072897,39.621803
48,20.362223,38.849804
49,23.67493,34.5133
50,26.72414,31.598856
51,-29.734776,-35.57481
52,28.266706,29.939308
53,27.657915,30.87966
54,-29.225708,-35.82235
55,29.265991,30.709265
56,-20.482847,-23.854364
57,-20.933449,-24.45975
58,-28.57521,-12.841415
59,-30.087183,-13.4245405
60,2.4938562,-29.20731
61,14.584737,-2.749226
62,16.2912,-1.9495833
63,17.632645,-1.672966
64,20.288528,0.7946125
65,21.103872,-0.108580515
66,-9.46612,11.726906
67,-11.27103,12.856751
68,-12.769435,14.384725
69,-20.905954,21.288631
70,0.9412799,14.909248
71,0.2719733,14.066929
72,3.1947062,19.411726
73,3.9791799,20.354933
74,9.355916,-37.341175
75,-10.729084,-2.2623663
76,-10.035009,1.4158359
77,10.765661,46.28003
78,12.246468,46.901108
79,17.364172,43.03273
80,15.662776,42.968475
81,-4.503181,9.952008
82,-25.03469,19.817968
83,-28.937159,-9.390915
84,-27.823376,-11.28196
85,-28.270197,-10.57164
86,-26.60021,-23.867468
87,-32.74107,-26.480717
88,-29.629053,-27.140188
89,-31.50224,-27.814222
90,-30.742325,-26.93166
91,-33.868282,-26.037361
92,-40.20555,-21.573595
93,-41.07905,-22.211552
94,-36.037197,-27.42146
95,-36.052498,-28.368835
96,16.531698,-5.7071667
97,16.451235,-3.0760465
98,19.285295,-1.0375727
99,22.731567,-0.69623196
100,22.947779,0.7744723
101,15.159309,-5.7799687
102,8.661161,-1.7367011
103,7.4321795,-0.5580945
104,7.6587415,0.37251478
105,5.525664,18.558876
106,4.7144217,18.502882
107,5.990977,20.931196
108,2.5282276,-27.019356
109,1.2742229,-26.153826
110,-0.9090015,16.123169
111,-10.124539,12.625481
112,-10.711868,32.952644
113,-0.59824747,17.154526
114,5.3292594,-37.237602
115,8.317837,-35.210873
116,6.9902387,-36.057507
117,6.754765,-36.83613
118,8.940594,-34.161446
119,12.79085,-2.3320718
120,-38.235752,-27.642387
121,22.766758,2.0307815
122,2.430979,13.5198965
123,-4.4194403,11.871473
124,-22.06886,22.113865
125,-23.028545,21.648561
126,-23.138018,24.464565
127,-31.704855,10.345008
128,-30.985992,11.187444
129,-31.5646,13.454735
130,-30.67074,13.658972
131,-30.278774,14.921503
132,-23.358517,20.68194
133,-14.52884,13.637829
134,-11.315201,3.5847812
135,-8.796334,-0.9322128
136,3.6793275,-26.948427
137,5.246834,0.038698863
138,-9.565918,35.24806
139,4.4555097,0.41731942
140,3.1371624,1.3953453
141,-3.4214494,12.644275
142,7.4321184,45.13451
143,9.889983,44.369118
144,9.753258,45.54815
145,11.7056875,43.0552
146,-4.5717254,-32.952927
147,-3.8110166,-32.54122
148,-1.6215146,-31.83323
149,-0.56995726,-30.13577
150,-1.7684017,-30.915457
151,49.160454,-21.23706
152,50.090492,-21.503365
153,58.209316,-3.2515073
154,59.10147,-3.2972178
155,56.59056,-1.9516735
156,55.52244,-2.0503151
157,56.96846,-0.05114811
158,58.19849,2.276466
159,58.12315,3.4461565
160,59.737045,4.098763
161,59.25612,5.212629
162,60.52459,5.506198
163,57.1639,1.0878845
164,6.6751695,-27.43941
165,8.056464,-28.256851
166,8.367014,-29.080269
167,-12.752552,5.1407633
168,-12.784216,17.122013
169,-11.516025,16.312645
170,-6.072275,12.374587
171,5.241338,46.006516
172,5.8569517,45.226757
173,-9.497716,-0.54669255
174,-30.704979,9.850912
175,-22.945797,25.52633
176,-22.317066,26.730415
177,12.89753,43.6854
178,13.641328,42.756214
179,-19.677628,-32.267395
180,-19.526875,-31.283737
181,-17.94285,-31.813326
182,-16.593779,-31.357306
183,-17.240583,-32.720615
184,-21.05249,-29.907877
185,-15.762524,-8.270405
