,umap_1,umap_2
0,6.7662754,7.853242
1,6.785195,8.303241
2,6.574747,9.29783
3,6.7315207,9.211321
4,6.5564213,9.110145
5,7.3640904,8.022629
6,7.2638226,7.696195
7,6.1958666,8.567729
8,6.3098826,8.643534
9,5.0443974,9.244104
10,5.174121,9.20045
11,7.102174,8.849952
12,5.9454174,8.841748
13,8.098718,9.3241
14,8.229637,9.357946
15,8.170053,9.264672
16,7.205121,7.5790462
17,8.514344,5.9461637
18,8.440706,5.874343
19,7.019165,7.5680428
20,6.8095274,7.294423
21,6.669944,7.4684644
22,4.7317977,5.410981
23,4.0905023,5.5100927
24,5.130916,7.6305
25,4.7865696,7.95416
26,4.6758018,7.9957685
27,4.829014,7.994394
28,7.484502,7.5813866
29,7.619455,7.5808067
30,-0.5305075,8.469262
31,-0.6954147,9.107262
32,-0.37266982,8.2714
33,-0.67388767,8.891508
34,-0.47770947,8.433873
35,-0.42829254,8.349025
36,-0.72973126,9.134829
37,-0.7457955,9.271406
38,-0.5994763,9.367653
39,-0.7637309,9.191235
40,-0.48371115,9.33076
41,3.0545099,9.238388
42,3.690238,9.072067
43,3.4521089,9.122989
44,3.5722513,9.106576
45,3.4314044,9.116284
46,4.0014462,9.231153
47,4.3978653,9.123448
48,4.5262127,9.148393
49,4.727393,9.284032
50,5.3587956,9.643555
51,7.8793154,9.775995
52,5.4161077,9.720309
53,5.399139,9.682188
54,7.9392486,9.517551
55,5.334997,9.718778
56,8.079598,9.681287
57,8.227718,9.645269
58,6.3260756,8.365499
59,6.6241503,8.408907
60,9.055128,8.035764
61,8.9266205,5.659045
62,8.949463,5.688083
63,9.029138,5.468844
64,8.974331,5.1786385
65,8.955008,5.1796293
66,4.5176516,5.4865117
67,4.3573356,5.749463
68,4.1022344,5.5284953
69,4.239447,6.3396726
70,5.552918,5.36631
71,5.612276,5.4821706
72,5.7644844,5.0131903
73,5.846877,4.912892
74,9.654325,8.154348
75,7.2752924,7.202103
76,6.8096576,6.749278
77,3.9818933,8.282084
78,4.163403,8.478248
79,4.0400276,8.943178
80,3.931729,8.835757
81,4.7469316,6.0750365
82,4.7598658,6.522522
83,6.1853666,7.8829494
84,6.01314,8.249627
85,6.0209465,8.085509
86,7.549573,9.30389
87,7.41331,9.468625
88,7.801086,9.474064
89,7.704966,9.715932
90,7.711511,9.597932
91,7.277976,9.548328
92,6.824573,9.303082
93,6.932858,9.492909
94,7.3033705,9.7299795
95,7.3760037,9.78534
96,9.053946,5.684952
97,9.178721,5.6524835
98,9.040473,5.331309
99,8.882844,5.0919743
100,8.825777,5.018255
101,8.924429,5.94708
102,8.253756,6.058859
103,7.826779,5.847748
104,7.780831,5.8914905
105,5.714158,5.0607843
106,5.929262,5.1272526
107,5.682258,4.8392167
108,8.84414,7.782396
109,8.710031,7.689405
110,5.3804603,5.7141767
111,4.4171553,5.673964
112,4.674162,7.793417
113,5.609428,5.536349
114,9.386981,8.193121
115,9.671726,8.170258
116,9.459053,8.234967
117,9.539766,8.088864
118,9.550009,7.8838854
119,8.530444,5.631057
120,7.2125673,9.735106
121,8.584887,5.053287
122,5.8736005,5.1758895
123,4.881392,5.6802583
124,4.2295213,6.624998
125,4.364008,6.47144
126,4.2962036,6.728249
127,5.7169123,6.4314585
128,5.7178493,6.476459
129,5.5451965,6.471464
130,5.54856,6.476742
131,5.189228,6.477116
132,4.3857675,6.293131
133,4.0638027,6.013044
134,6.48254,6.8647785
135,7.5957913,7.005134
136,8.893341,7.614655
137,7.5223145,5.98639
138,4.682277,7.8495665
139,7.1647105,6.1527047
140,7.242971,6.126871
141,5.0868998,5.612263
142,3.7607055,7.992678
143,3.725562,8.287344
144,3.8894513,8.187733
145,3.709213,8.608767
146,8.472529,8.202338
147,8.732849,8.395917
148,8.893173,8.191874
149,8.888773,7.923622
150,8.697027,8.123883
151,-0.24316786,8.135312
152,-0.2971734,8.199886
153,-1.116335,9.517706
154,-1.2035174,9.593929
155,-1.0462173,9.454796
156,-1.0076528,9.625055
157,-1.299653,9.610942
158,-1.387474,9.747953
159,-1.4404141,9.717708
160,-1.5458971,9.8117695
161,-1.5356238,9.967095
162,-1.5291275,9.918874
163,-1.353572,9.918914
164,9.125003,7.423123
165,9.321879,7.613372
166,9.352978,7.5838423
167,4.2455893,5.2722597
168,4.2237334,5.4486866
169,4.09094,5.3797154
170,4.7934384,5.622069
171,3.776731,8.051237
172,3.7024934,7.8035746
173,7.2808,6.9980597
174,5.8788595,6.262548
175,4.3246775,6.828328
176,4.1622257,7.3905945
177,3.8118184,8.560564
178,3.8844094,8.563142
179,8.681631,9.005335
180,8.702058,9.004881
181,8.711527,8.956176
182,8.783585,8.906972
183,8.804206,9.064556
184,8.405549,9.101415
185,7.224816,7.559994
