BIM,target,category,model,date,y_true,y_pred,residual,validation_mode,train_source
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-03-24 13:08:33,0.471,0.5478669936787208,-0.07686699367872085,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-03-25 12:05:21,0.609,0.5076356861476065,0.10136431385239353,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-03-26 12:20:42,0.579,0.7644632444509505,-0.18546324445095053,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-03-27 12:58:48,0.687,0.6656839982429521,0.021316001757047953,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-03-30 12:42:53,0.665,0.7924050261532206,-0.12740502615322058,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-03-31 14:40:06,0.748,0.7139463856548058,0.03405361434519416,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-04-01 14:31:50,0.752,0.8076397873258521,-0.055639787325852064,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-04-02 13:52:12,0.734,0.7811933957337006,-0.04719339573370063,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-04-06 15:01:13,0.545,0.7297732302212915,-0.18477323022129144,synthetic_full_cycle,synthetic_growth_cycles
BIM-04,OD,machine_learning,Gaussian_Process_Regression,2026-04-07 15:03:08,0.435,0.5302183540542225,-0.09521835405422246,synthetic_full_cycle,synthetic_growth_cycles
