BIM,target,category,model,date,y_true,y_pred,residual,validation_mode,train_source
BIM-07,OD,machine_learning,Elastic_Net,2026-03-26 12:31:08,0.582,0.5573649594453978,0.024635040554602194,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-03-27 13:08:16,0.538,0.628466850094123,-0.09046685009412292,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-03-30 12:48:26,0.63,0.5794744405889117,0.05052555941108827,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-03-31 14:44:13,0.637,0.6680108713339816,-0.031010871333981616,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-04-01 14:38:14,0.662,0.6825564952577916,-0.020556495257791574,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-04-02 13:58:29,0.701,0.6946931439691729,0.006306856030827035,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-04-06 15:07:39,0.685,0.735441652815246,-0.05044165281524593,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-04-07 15:07:19,0.644,0.7142705171864902,-0.07027051718649013,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-04-08 14:35:16,0.704,0.6640243669895575,0.03997563301044249,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-04-09 16:22:55,0.724,0.7309919940373365,-0.006991994037336524,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Elastic_Net,2026-05-13 15:18:00,0.622,0.759013923640298,-0.13701392364029796,synthetic_full_cycle,synthetic_growth_cycles
