BIM,target,category,model,date,y_true,y_pred,residual,validation_mode,train_source
BIM-07,OD,machine_learning,Ridge,2026-03-26 12:31:08,0.582,0.5487271140823684,0.033272885917631556,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-03-27 13:08:16,0.538,0.6389793276421437,-0.10097932764214368,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-03-30 12:48:26,0.63,0.545338633121021,0.08466136687897896,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-03-31 14:44:13,0.637,0.6934615286840573,-0.056461528684057294,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-04-01 14:38:14,0.662,0.667274336068871,-0.005274336068870955,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-04-02 13:58:29,0.701,0.6922270443925094,0.008772955607490585,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-04-06 15:07:39,0.685,0.7376606687802076,-0.05266066878020759,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-04-07 15:07:19,0.644,0.6947253488617263,-0.050725348861726305,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-04-08 14:35:16,0.704,0.6381156034867045,0.06588439651329547,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-04-09 16:22:55,0.724,0.745514190146248,-0.021514190146248002,synthetic_full_cycle,synthetic_growth_cycles
BIM-07,OD,machine_learning,Ridge,2026-05-13 15:18:00,0.622,0.7521791247280089,-0.13017912472800885,synthetic_full_cycle,synthetic_growth_cycles
