BIM,target,category,model,date,y_true,y_pred,residual,validation_mode,train_source
BIM-02,OD,machine_learning,Linear_Regression,2026-03-24 13:01:56,0.669,0.7764744026533345,-0.10747440265333441,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-03-25 12:01:45,0.765,0.6550971781994581,0.1099028218005419,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-03-26 12:09:38,0.456,0.8234587403308461,-0.3674587403308461,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-03-27 12:51:34,0.469,0.31932704655335076,0.14967295344664922,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-03-30 12:39:11,0.694,0.48280483148962905,0.2111951685103709,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-03-31 14:37:02,0.677,0.8349829562716329,-0.15798295627163284,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-01 14:27:25,0.85,0.6986594556589607,0.15134054434103927,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-02 13:44:19,0.814,0.9489720830678655,-0.13497208306786557,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-06 14:57:18,0.68,0.8118745571366393,-0.1318745571366392,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-07 14:58:47,0.739,0.6167488332278029,0.12225116677219705,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-08 14:28:43,0.665,0.7729904838502398,-0.1079904838502398,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-09 16:17:04,0.637,0.6433820032186582,-0.006382003218658228,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-10 15:05:25,0.657,0.6334427159705696,0.02355728402943047,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Linear_Regression,2026-04-13 15:24:05,0.558,0.6823865820854974,-0.12438658208549735,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Polynomial_Regression,2026-03-24 13:01:56,0.669,0.7865371583605344,-0.11753715836053436,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Polynomial_Regression,2026-03-25 12:01:45,0.765,0.6633017113075514,0.10169828869244857,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,machine_learning,Polynomial_Regression,2026-03-26 12:09:38,0.456,0.8193317918982892,-0.3633317918982892,synthetic_full_cycle,synthetic_growth_cycles
