BIM,target,category,model,status,fit_seconds,error,RMSE,MAE,MAPE,SMAPE,R2,Adjusted_R2,AIC,BIC,LogLikelihood,validation_mode,train_source
BIM-02,OD,classical,Naive_Last,skipped,4.2000028770416975e-06,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Moving_Average,skipped,1.5999976312741637e-06,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Weighted_Moving_Average,skipped,1.00000761449337e-06,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Drift,skipped,6.999907782301307e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Exponential_Smoothing,skipped,7.999915396794677e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Holt,skipped,3.00002284348011e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Holt_Winters_Additive,skipped,2.00001522898674e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Holt_Winters_Multiplicative,skipped,2.9998773243278265e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Brown_Double_Exponential,skipped,2.9998773243278265e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Winters,skipped,3.00002284348011e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Croston,skipped,5.00003807246685e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,classical,Theta_Method,skipped,4.00003045797348e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,statistical,AR,skipped,1.00000761449337e-06,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,statistical,MA,skipped,2.00001522898674e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,statistical,ARMA,skipped,2.00001522898674e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,statistical,ARIMA,skipped,2.00001522898674e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,statistical,SARIMA,skipped,3.00002284348011e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
BIM-02,OD,statistical,ARIMAX,skipped,5.999900167807937e-07,model does not implement synthetic-cycle training,,,,,,,,,,synthetic_full_cycle,synthetic_growth_cycles
