BIM,target,category,model,status,fit_seconds,error,RMSE,MAE,MAPE,SMAPE,R2,Adjusted_R2,AIC,BIC,LogLikelihood,validation_mode,train_source,train_points,test_points,metadata,RMSE_rank,MAE_rank,SMAPE_rank,AIC_rank,BIC_rank,R2_rank,mean_rank
BIM-02,OD,machine_learning,Lasso,ok,0.42142342997249216,,0.1350223442647355,0.10563774546096973,17.141734397832842,15.67130636610674,-0.5238476547250346,-0.6508349592854541,-14.334541102955527,-13.695483773340268,8.167270551477763,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIM-02,OD,machine_learning,Elastic_Net,ok,0.42159314593300223,,0.13679676068774257,0.10736519963936907,17.34479716796465,15.937010270312888,-0.5641625735394582,-0.6945094546677464,-13.968971761471089,-13.32991443185583,7.984485880735544,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",2.0,2.0,3.0,2.0,2.0,2.0,2.1666666666666665
BIM-02,OD,machine_learning,KNN,ok,0.4360010391101241,,0.1404336749381061,0.10818492633398666,18.48534291323636,16.097097042385307,-0.6484386351608862,-0.7858085214242934,-13.234280122842264,-12.595222793227006,7.617140061421132,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",3.0,3.0,4.0,3.0,3.0,3.0,3.1666666666666665
BIM-02,OD,machine_learning,Decision_Trees,ok,0.4635088809300214,,0.14300820212780235,0.11542057305765938,19.08727004821981,16.70897078195915,-0.7094332876436809,-0.8518860616139874,-12.725613269510035,-12.086555939894776,7.362806634755017,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",4.0,5.0,5.0,4.0,4.0,5.0,4.5
BIM-02,OD,machine_learning,PLS,ok,0.42344921501353383,,0.1447010284181415,0.11875722690404511,20.28451090775854,17.64530617749502,-0.7501428518954631,-0.8959880895534182,-12.396116137808548,-11.757058808193289,7.198058068904274,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",5.0,7.0,7.0,5.0,5.0,6.0,5.833333333333333
BIM-02,OD,deep_learning,MLP,ok,1.397013266920112,,0.1464625254339002,0.11204954729271586,18.065688311550765,15.803650540149297,-0.6650108983624938,-0.8163755254863567,-11.053225877341372,-10.488276519879836,6.526612938670686,synthetic_full_cycle,synthetic_growth_cycles,40316.0,13.0,"{""lags"": 4, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 32316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 13, ""warmup_points"": 4}",7.0,4.0,2.0,12.0,12.0,4.0,6.833333333333333
BIM-02,OD,machine_learning,PCR,ok,0.4324354809941724,,0.1460984672037314,0.11987548674306613,20.477738502986593,17.785538377675373,-0.7841098138514755,-0.9327856316724317,-12.127005717846622,-11.487948388231363,7.063502858923311,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",6.0,8.0,9.0,6.0,6.0,7.0,7.0
BIM-02,OD,machine_learning,Gradient_Boosting,ok,3.5980578190647066,,0.14679647992056022,0.11778717783025229,19.108504117469675,17.29226513955408,-0.8011983742412143,-0.9512982387613154,-11.993549041565004,-11.354491711949745,6.996774520782502,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",9.0,6.0,6.0,8.0,8.0,9.0,7.666666666666667
BIM-02,OD,machine_learning,LightGBM,ok,0.5963462139479816,,0.14674795933788326,0.12203792008793557,19.735981050746595,17.869123994750566,-0.8000078722437196,-0.9500085282640296,-12.002805400368864,-11.363748070753605,7.001402700184432,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",8.0,9.0,10.0,7.0,7.0,8.0,8.166666666666666
BIM-02,OD,machine_learning,CatBoost,ok,1.3305419139796868,,0.14752122326510034,0.12260229052368302,19.85703138329167,17.74534978772833,-0.819027534330468,-0.9706131621913403,-11.855651426545949,-11.21659409693069,6.927825713272974,synthetic_full_cycle,synthetic_growth_cycles,40316.0,14.0,"{""lags"": 3, ""train_source"": ""synthetic_growth_cycles"", ""synthetic_cycles"": 2000, ""synthetic_samples"": 34316, ""prediction_protocol"": ""one_step_ahead_with_observed_real_lags"", ""validation_mode"": ""full_real_cycle_walk_forward"", ""validation_points"": 14, ""warmup_points"": 3}",10.0,10.0,8.0,9.0,9.0,10.0,9.333333333333334
